CustomerID,ArrivalTime,LaneType,AssignedCashier,WaitTime,ServiceTime,DepartureTime,Scenario,Status
1,2.55,Express,1,0,1.89,4.44,Baseline,Served
3,5.95,Normal,2,0,0.23,6.17,Baseline,Served
4,6.17,Normal,2,0,0.2,6.38,Baseline,Served
10,11.4,Express,1,0,0.76,12.16,Baseline,Served
5,6.79,Normal,3,0,5.9,12.7,Baseline,Served
2,2.61,Normal,3,0,16.7,19.32,Baseline,Served
6,7.35,Normal,3,0,12.43,19.78,Baseline,Served
9,10.98,Normal,3,8.8,3.57,23.35,Baseline,Served
7,7.97,Normal,3,4.73,12.34,25.04,Baseline,Served
15,24.82,Express,1,0,1.94,26.76,Baseline,Served
12,17.13,Normal,3,7.91,2.56,27.6,Baseline,Served
13,20.4,Normal,3,7.2,0.62,28.23,Baseline,Served
11,12.43,Normal,3,10.92,6.46,29.81,Baseline,Served
16,27.87,Express,1,0,2.44,30.31,Baseline,Served
18,29.66,Express,1,0.65,1.41,31.72,Baseline,Served
14,22.41,Normal,3,5.82,7.57,35.8,Baseline,Served
20,32.86,Express,1,0,3.58,36.44,Baseline,Served
23,41.56,Express,1,0,0.24,41.81,Baseline,Served
8,7.98,Normal,3,11.33,27.12,46.44,Baseline,Served
24,45.31,Express,1,0,1.78,47.08,Baseline,Served
21,36.13,Normal,3,10.31,2.83,49.27,Baseline,Served
17,28.53,Normal,3,1.28,20.69,50.5,Baseline,Served
25,46.25,Normal,3,4.25,3.78,54.28,Baseline,Served
26,53.41,Normal,3,0.87,2.31,56.58,Baseline,Served
22,38.68,Normal,2,10.59,7.99,57.26,Baseline,Served
27,59.56,Normal,3,0,2.29,61.85,Baseline,Served
30,63.08,Express,1,0,0.87,63.95,Baseline,Served
28,60.27,Normal,3,0,3.82,64.09,Baseline,Served
29,62.46,Normal,3,0,5.34,67.81,Baseline,Served
31,63.32,Normal,3,0.77,4.11,68.2,Baseline,Served
19,30.25,Normal,3,5.55,34.19,69.99,Baseline,Served
33,65.95,Normal,3,2.25,14.79,82.99,Baseline,Served
35,79.86,Express,1,0,7.68,87.55,Baseline,Served
34,79.83,Normal,3,0,8.59,88.42,Baseline,Served
32,65.79,Normal,3,2.02,26.57,94.38,Baseline,Served
40,84.85,Express,1,2.69,7.64,95.19,Baseline,Served
37,82.08,Normal,3,6.34,7.04,95.46,Baseline,Served
39,84.36,Normal,3,11.1,0.45,95.91,Baseline,Served
43,92.31,Express,1,2.87,2.76,97.94,Baseline,Served
36,81.79,Normal,3,1.2,15.65,98.64,Baseline,Served
42,90.38,Normal,3,8.26,0.67,99.31,Baseline,Served
45,95.18,Normal,3,4.13,4.99,104.3,Baseline,Served
46,100.46,Normal,3,3.84,2.31,106.61,Baseline,Served
48,104.27,Normal,3,2.35,1.79,108.4,Baseline,Served
41,89.96,Normal,3,5.95,15.78,111.69,Baseline,Served
49,105.88,Normal,2,2.52,5.81,114.21,Baseline,Served
38,83.6,Normal,1,10.79,19.85,114.23,Baseline,Served
52,115.23,Normal,2,0,0.97,116.2,Baseline,Served
55,117.96,Normal,3,0,1.95,119.91,Baseline,Served
44,94.2,Express,1,3.74,22.02,119.97,Baseline,Served
56,118.15,Normal,3,1.77,0.55,120.47,Baseline,Served
47,100.64,Express,1,19.33,2.04,122,Baseline,Served
51,114.3,Normal,2,0,7.87,122.17,Baseline,Served
53,116.67,Normal,1,0,6.66,123.33,Baseline,Served
58,124.65,Normal,1,0,4.8,129.45,Baseline,Served
50,111.03,Express,1,10.98,8.29,130.3,Baseline,Served
60,135.62,Normal,2,0,4.13,139.75,Baseline,Served
54,117.31,Express,1,12.99,11.52,141.81,Baseline,Served
61,135.87,Normal,1,0,8.39,144.27,Baseline,Served
57,124.04,Express,1,17.77,3.86,145.68,Baseline,Served
59,131.5,Express,1,14.18,3.11,148.78,Baseline,Served
62,137.45,Express,1,11.34,1.58,150.37,Baseline,Served
63,147.81,Express,1,2.56,4.46,154.83,Baseline,Served
65,154.13,Normal,2,0,4.39,158.52,Baseline,Served
64,152.76,Express,1,2.07,14.82,169.65,Baseline,Served
67,156.84,Normal,2,0,26.05,182.9,Baseline,Served
71,182.61,Normal,2,0,2.31,184.92,Baseline,Served
72,183.8,Normal,2,0,4.12,187.92,Baseline,Served
66,154.85,Express,1,14.8,19.56,189.21,Baseline,Served
73,187.63,Normal,1,0,6.09,193.72,Baseline,Served
68,174.94,Express,1,14.27,9.5,198.72,Baseline,Served
75,195.94,Normal,1,0,5.86,201.8,Baseline,Served
69,179.66,Express,1,19.06,10.34,209.06,Baseline,Served
76,204.6,Normal,2,0,5.24,209.84,Baseline,Served
79,209.74,Normal,1,0,2.01,211.75,Baseline,Served
80,212,Normal,2,0,2.12,214.12,Baseline,Served
81,212.32,Normal,2,0,4.08,216.4,Baseline,Served
83,216.77,Normal,3,0,2.05,218.81,Baseline,Served
85,218.6,Normal,3,0.21,0.56,219.38,Baseline,Served
84,217.34,Normal,3,0,2.68,220.01,Baseline,Served
74,195.52,Express,N/A,30,0,225.52,Baseline,Left
70,181.33,Express,1,27.73,24.29,233.35,Baseline,Served
77,204.74,Express,1,28.6,0.06,233.4,Baseline,Served
82,214.58,Normal,3,0,20.47,235.04,Baseline,Served
88,221.27,Normal,3,0,15.96,237.23,Baseline,Served
89,222.04,Normal,3,13,2.67,237.71,Baseline,Served
90,227.33,Normal,3,9.9,8.17,245.39,Baseline,Served
78,209.53,Express,1,23.87,12.74,246.15,Baseline,Served
87,221.08,Express,1,25.06,2.3,248.44,Baseline,Served
93,241.7,Express,1,6.75,4.13,252.58,Baseline,Served
92,230.8,Normal,3,14.6,7.54,252.94,Baseline,Served
96,243.14,Express,1,9.44,2.43,255.01,Baseline,Served
91,227.76,Normal,3,9.96,20.97,258.68,Baseline,Served
98,247.97,Express,1,7.03,6.02,261.02,Baseline,Served
86,219.55,Normal,3,0,41.59,261.14,Baseline,Served
97,246.3,Normal,3,14.84,1.2,262.34,Baseline,Served
94,242.06,Normal,3,10.88,10.14,263.08,Baseline,Served
99,252.65,Normal,3,9.69,1.02,263.37,Baseline,Served
100,252.66,Express,1,8.36,6.55,267.57,Baseline,Served
101,255.2,Express,1,12.38,2.15,269.73,Baseline,Served
95,242.34,Normal,3,16.34,13.5,272.17,Baseline,Served
104,262.64,Normal,3,9.53,1.26,273.43,Baseline,Served
102,256.59,Normal,3,6.48,11.93,275,Baseline,Served
105,263.56,Express,1,6.16,7.27,277,Baseline,Served
103,256.79,Normal,3,6.58,14.78,278.15,Baseline,Served
107,269.57,Normal,3,5.44,12.49,287.49,Baseline,Served
